"n_years","AF_total_cost","AF_total_investment_cost","AF_total_running_cost","AF_insurance","AF_total_running_cost.1","AF_total_einkorn_cost","AF_total_wheat_cost","AF_total_dinkel_cost","ES3_application","AF_pruning","AF_root_pruning","AF_annual_irrigation_cost","AF_mowing_treerow","AF_fruit_harvest","AF_total_benefit","AF_tree_benefit","AF_einkorn_benefit","AF_wheat_benefit","AF_dinkel_benefit","ES3_subsidy","AF_chance_market_fluc","AF_bottom_line_benefit","AF_bottom_line_benefit_farm"
60,7081.74212582043,0,5659.54701245551,1422.19511336492,5659.54701245551,5656.99391381882,0,0,0,0,0,1.32205458578479,0,1.23104405090505,175817.416697199,125901.934348424,49203.2955146629,0,0,400,1,168735.674571379,168423.487737267
60,8816.54240425748,0,7393.96962582197,1422.57277843551,7393.96962582197,0,7391.41020972122,0,0,0,0,1.29416470948862,0,1.26525139125293,175864.105155389,128219.600257804,0,46854.1531140008,0,400,1,167047.562751132,166657.210967547
60,6554.82981490856,0,5131.44313848991,1423.38667641865,5131.44313848991,0,0,5128.88864472649,0,0,0,1.3339025153165,0,1.2205912481014,175964.722461345,142175.547701406,0,0,33013.2924084283,400,1,169409.892646436,169034.010294926
60,4888.87286423012,0,3367.06623826526,1521.80662596486,3367.06623826526,3364.65138159395,0,0,0,0,0,1.16453125811439,0,1.25032541319184,188131.788089732,161826.031691421,25480.7419393105,0,0,400,1,183242.915225502,182817.900766502
60,8919.90707840113,0,7428.21391704449,1491.69316135664,7428.21391704449,0,7425.7120477401,0,0,0,0,1.38670076070944,0,1.11516854367898,184409.041818517,149926.790728597,0,33667.2804051828,0,400,1,175489.134740116,175074.164055378
60,5581.4345454417,0,3936.08864988893,1645.34589555277,3936.08864988893,0,0,3933.60350568967,0,0,0,1.17289502345871,0,1.31224917580319,203404.203973805,152073.586239249,0,0,50518.7996741821,400,1,197822.769428364,197410.95136799
60,5778.38261984263,0,4314.56262331106,1463.81999653158,4314.56262331106,4312.05539510163,0,0,0,0,0,1.20908237677038,0,1.2981458326603,180963.250317291,155443.244744078,24566.4672367891,0,0,400,1.24670778288708,218404.338002452,217714.237450305
60,7001.95063524538,0,5744.58555162002,1257.36508362536,5744.58555162002,0,5742.26006566874,0,0,0,0,1.16991116516545,0,1.15557478611725,155440.472809123,143080.190094463,0,11452.8288329679,0,400,1,148438.522173878,147931.068292186
60,6739.2237692768,0,5170.73104067592,1568.49272860088,5170.73104067592,0,0,5168.40348912692,0,0,0,1.22756598039896,0,1.09998556860428,193903.309791635,139702.53773153,0,0,53229.910309148,400,1,187164.086022358,186593.224271401
60,5324.13748084777,0,3991.19928961408,1332.93819123369,3991.19928961408,3988.56696818267,0,0,0,0,0,1.35350338601008,0,1.27881804539595,164783.120963805,138762.932454172,24933.6998545082,0,0,400,1,159458.983482957,158772.494827833
60,7842.92446935649,0,6208.85120980549,1634.07325955101,6208.85120980549,0,6206.23468940074,0,0,0,0,1.31947488392756,0,1.29704552082041,202010.635874342,150994.392736357,0,49891.5973709955,0,400,1,194167.711404985,193443.065637996
60,5395.98587376832,0,3982.31726383151,1413.66860993681,3982.31726383151,0,0,3979.68511662829,0,0,0,1.28423390448573,0,1.34791329873384,174763.336429237,142242.867310176,0,0,31281.7461323509,400,1,169367.350555469,168528.627568759
60,5469.40421804697,0,4162.21979024651,1307.18442780046,4162.21979024651,4159.79840643566,0,0,0,0,0,1.14719422410919,0,1.27418958673688,161599.33829256,140265.499652309,20134.6121188513,0,0,400,1,156129.934074513,155330.707553113
60,5464.89338859973,0,3926.28484833168,1538.60854026805,3926.28484833168,0,3923.67728319254,0,0,0,0,1.33215489031825,0,1.2754102488163,190208.907565531,161906.301885791,0,27074.1323580172,0,400,1,184744.014176931,183915.540855208
60,6745.54043675452,0,4947.02598044854,1798.51445630598,4947.02598044854,0,0,4944.72744501376,0,0,0,1.27096481821076,0,1.02757061656733,222339.510682279,200813.382280232,0,0,20126.2699272928,400,1,215593.970245524,214594.111770771
60,5129.25571505117,0,3852.74456910334,1276.51114594782,3852.74456910334,3850.18916097018,0,0,0,0,0,1.24857255706061,0,1.3068355761015,157807.385186916,124103.337348267,32511.2070430152,0,0,400,1,152678.129471865,151885.288676231
60,7040.4882216997,0,5670.93179694577,1369.55642475393,5670.93179694577,0,5668.50227960428,0,0,0,0,1.24285981718129,0,1.18665752431445,169310.012640651,136542.177593926,0,31481.2754627925,0,400,1,162269.524418951,161382.964835019
60,5240.43919770814,0,3715.7758686893,1524.66332901884,3715.7758686893,0,0,3713.06929410179,0,0,0,1.50175395578523,0,1.20482063172253,188484.945083805,157730.52905483,0,0,29273.6581698719,400,1,183244.505886097,182163.748026994
