"n_years","Treeless_total_arable_total_cost","Treeless_total_einkorn_cost","Treeless_total_wheat_cost","Treeless_total_dinkel_cost","PPcost_einkorn","PPcost_wheat","PPcost_dinkel","Treeless_insurance","Treeless_total_benefit","Treeless_einkorn_benefit","Treeless_wheat_benefit","Treeless_dinkel_benefit","Treeless_bottom_line_benefit"
60,10824.1978520941,0,0,3814.87343124543,0,0,6843.63789661897,165.686524229681,20482.8271436521,0,0,20482.8271436521,9658.62929155805
60,13126.0485411969,2710.07149255097,0,0,9932.03709616324,0,0,483.939952482646,59826.5817977341,59826.5817977341,0,0,46700.5332565372
60,9107.50573931025,0,1921.0705854481,0,0,7043.82823773961,0,142.606916122539,17629.6341902742,0,17629.6341902742,0,8522.12845096391
60,7720.77696900715,0,0,1782.31692411725,0,0,5747.58221729818,190.87782759172,23597.0762637113,0,0,23597.0762637113,15876.2992947042
60,11942.1064708081,3334.126156562,0,0,8157.18499604322,0,0,450.795318202831,55729.1102752347,55729.1102752347,0,0,43787.0038044267
60,16990.7963752184,0,2502.67026132772,0,0,14080.5967711054,0,407.529342785322,50380.3983036453,0,50380.3983036453,0,33389.6019284269
60,7257.42758653792,0,0,1990.02408829566,0,0,5006.52287109994,260.880627142328,32251.1007803894,0,0,32251.1007803894,24993.6731938514
60,11940.4318490675,2860.96145248343,0,0,8653.66857668892,0,0,425.80181989512,52639.3146027615,52639.3146027615,0,0,40698.882753694
60,9918.71667717356,0,1921.81561937486,0,0,7815.45963834763,0,181.441419451068,22430.5099560375,0,22430.5099560375,0,12511.793278864
60,4920.26648058967,0,0,2151.75832953052,0,0,2661.26822019391,107.23993086524,13257.4268005341,0,0,13257.4268005341,8337.16031994441
60,11008.189445293,2718.21676012799,0,0,8103.59505918741,0,0,186.37762597763,23040.7434406194,23040.7434406194,0,0,12032.5539953263
60,11186.3189926994,0,3376.24731634507,0,0,7646.20747338777,0,163.864202966559,20257.5445408197,0,20257.5445408197,0,9071.22554812025
60,8241.6695905166,0,0,1149.46703428857,0,0,6949.6697647937,142.532791434327,17620.4706014862,0,0,17620.4706014862,9378.80101096962
60,12474.5353974326,3161.11423539738,0,0,8711.47120088544,0,0,601.949961149778,74415.4484541374,74415.4484541374,0,0,61940.9130567048
60,8645.09615553369,0,2192.29731550458,0,0,6339.68709393042,0,113.111746098682,13983.3239548454,0,13983.3239548454,0,5338.22779931173
60,8173.25708606544,0,0,3811.47686495293,0,0,4231.19746471156,130.582756400951,16143.1597393795,0,0,16143.1597393795,7969.90265331408
